ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta,CAR
MA,Vosburg Craig,Officer,2022-03-29,S,1561.0,365.0,569765.0,-0.0002123692527322,1.2450671989596038,0.0360185048225343
TSLA,Baglino Andrew D,Officer,2022-03-28,S,3500.0,1065.0,3727500.0,0.0010052057969065,1.6907052383842336,0.18654391926734432
NVDA,COXE TENCH,Director,2022-03-28,S,100000.0,274.06,27406000.0,0.0020275552655828,2.2587088806084115,-0.042672618560187676
HD,Padilla Hector A,Officer,2022-03-25,S,504.0,309.8,156139.2,0.0003255568806398,0.9168338147584963,-0.13710132320484295
V,MCINERNEY RYAN,Officer,2022-03-28,S,6466.0,220.0,1422520.0,-0.0001614953954094,1.0907385544575656,0.012349551024658456
ADBE,Garfield Mark S.,Officer,2022-03-24,S,463.0,425.79,197140.77,-0.0003212357391894,1.4438111478632405,-0.016766629717556963
ADBE,Belsky Scott,Officer,2022-03-25,S,2750.0,435.44,1197460.0,-0.0004609292966989,1.4741288402346937,-0.002132063433432959
UNH,BURKE RICHARD T,Director,2022-03-22,S,4000.0,511.14,2044560.0,0.0008687781084433,0.6724911176540138,-0.03401920724842339
UNH,BURKE RICHARD T,Director,2022-03-23,S,3000.0,505.67,1517010.0,0.0009385781188473,0.6803368605598579,-0.017484340509174127
UNH,BURKE RICHARD T,Director,2022-03-24,S,3000.0,508.8,1526400.0,0.0009248416961877,0.6767225346379249,-0.01284850471800027
AMZN,Selipsky Adam,Officer,2022-03-18,S,344.0,3200.0,1100800.0,-0.0011222402612976,1.2152550172735,0.0510165617163765
NVDA,PERRY MARK L,Director,2022-03-18,S,2716.0,264.92,719522.7200000001,0.0017611340067297,2.1891333756572777,0.05148732103933305
NVDA,PERRY MARK L,Director,2022-03-18,S,12100.0,263.67,3190407.0,0.0017611340067297,2.1891333756572777,0.05148732103933305
NVDA,PERRY MARK L,Director,2022-03-18,S,100.0,265.49,26549.0,0.0017611340067297,2.1891333756572777,0.05148732103933305
NVDA,PERRY MARK L,Director,2022-03-18,S,1800.0,262.9,473220.0,0.0017611340067297,2.1891333756572777,0.05148732103933305
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1657.0,176.28,292095.96,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1420.0,176.28,250317.6,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,6566.0,176.24,1157191.84,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,3770.0,176.16,664123.2,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1735.0,176.28,305845.8,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1976.0,176.28,348329.28,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1856.0,176.28,327175.68,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1757.0,176.28,309723.96,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,2944.0,176.28,518968.32,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,97.0,176.28,17099.16,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1103.0,176.28,194436.84,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,143.0,176.28,25208.04,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,157.0,176.28,27675.96,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,200.0,176.24,35248.0,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,227.0,176.24,40006.48,0.0002717583537981,0.2592535839432052,0.017269268150398785
