ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta
MA,Vosburg Craig,Officer,2022-03-29,S,1561.0,365.0,569765.0,-0.00021236925273224115,1.2450671989596038
TSLA,Baglino Andrew D,Officer,2022-03-28,S,3500.0,1065.0,3727500.0,0.0010052057969065994,1.6907052383842336
NVDA,COXE TENCH,Director,2022-03-28,S,100000.0,274.06,27406000.0,0.002027555265582898,2.2587088806084115
HD,Padilla Hector A,Officer,2022-03-25,S,504.0,309.8,156139.2,0.0003255568806398521,0.9168338147584965
V,MCINERNEY RYAN,Officer,2022-03-28,S,6466.0,220.0,1422520.0,-0.00016149539540942653,1.0907385544575656
ADBE,Garfield Mark S.,Officer,2022-03-24,S,463.0,425.79,197140.77,-0.0003212357391894262,1.4438111478632405
ADBE,Belsky Scott,Officer,2022-03-25,S,2750.0,435.44,1197460.0,-0.0004609292966989334,1.4741288402346935
UNH,BURKE RICHARD T,Director,2022-03-22,S,4000.0,511.14,2044560.0,0.0008687781084433278,0.6724911176540138
UNH,BURKE RICHARD T,Director,2022-03-23,S,3000.0,505.67,1517010.0,0.000938578118847397,0.6803368605598579
UNH,BURKE RICHARD T,Director,2022-03-24,S,3000.0,508.8,1526400.0,0.0009248416961877256,0.6767225346379249
AMZN,Selipsky Adam,Officer,2022-03-18,S,344.0,3200.0,1100800.0,-0.0011222402612976656,1.2152550172735
NVDA,PERRY MARK L,Director,2022-03-18,S,2716.0,264.92,719522.7200000001,0.0017611340067297998,2.1891333756572777
NVDA,PERRY MARK L,Director,2022-03-18,S,12100.0,263.67,3190407.0,0.0017611340067297998,2.1891333756572777
NVDA,PERRY MARK L,Director,2022-03-18,S,100.0,265.49,26549.0,0.0017611340067297998,2.1891333756572777
NVDA,PERRY MARK L,Director,2022-03-18,S,1800.0,262.9,473220.0,0.0017611340067297998,2.1891333756572777
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1657.0,176.28,292095.96,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1420.0,176.28,250317.6,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,6566.0,176.24,1157191.84,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,3770.0,176.16,664123.2,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1735.0,176.28,305845.8,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1976.0,176.28,348329.28,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1856.0,176.28,327175.68,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1757.0,176.28,309723.96,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,2944.0,176.28,518968.32,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,97.0,176.28,17099.16,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,1103.0,176.28,194436.84,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,143.0,176.28,25208.04,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,157.0,176.28,27675.96,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,200.0,176.24,35248.0,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,227.0,176.24,40006.48,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,373.0,176.24,65737.52,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,464.0,176.24,81775.36,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,477.0,176.28,84085.56,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,487.0,176.28,85848.36,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,550.0,176.24,96932.0,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,551.0,176.24,97108.24,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,555.0,176.24,97813.2,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,596.0,176.28,105062.88,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,597.0,176.24,105215.28,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,613.0,176.28,108059.64,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,717.0,176.24,126364.08,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,833.0,176.28,146841.24,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,848.0,176.28,149485.44,0.00027175835379813693,0.25925358394320525
JNJ,Mongon Thibaut,Officer,2022-03-17,S,957.0,176.28,168699.96,0.00027175835379813693,0.25925358394320525
